attribute names,overall experian matching % ,overall D&B matching %
passport Number,100.0,100.0
fisrt name,100.0,100.0
last name,100.0,100.0
date of birth,95.9788,96.9862
blood group,91.0036,93.3715
gender,84.26375000000156,88.1480833333347
marital status,100.0,100.0
education level,87.92690944741793,90.96800427807685
address,85.57572036533742,89.10726807366501
city,83.50448777888673,87.57197336829755
postal code,82.33951071428505,86.73370714285663
country,100.0,100.0
country code,100.0,100.0
phone number,86.68834065934041,89.86903846153822
company name,100.0,100.0
email,100.0,100.0
